"order_id";"order_create_date";"order_pickup_date";"order_pickup_store";"pickup_store_name";"pickup_store_address";"pickup_store_phone";"pickup_store_city";"pickup_store_state";"order_return_date";"order_return_store";"return_store_name";"return_store_address";"return_store_phone";"return_store_city";"return_store_state"
3;"20050703";"20050703";3;"Darlinghurst_store";"5844 Linden Land";"1 (11) 543 535-0184";"Darlinghurst                  ";"New South Wales";"20050711";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales"
4;"20050704";"20050704";12;"North Sydney_store";"1224 Shoenic";"1 (11) 543 535-0117";"North Sydney                  ";"New South Wales";"20050709";8;"Matraville_store";"942 Brook Street";"1 (11) 543 535-0126";"Matraville                    ";"New South Wales"
5;"20050705";"20050705";5;"Lane Cove_store";"7553 Harness Circle";"1 (11) 543 535-0131";"Lane Cove                     ";"New South Wales";"20050710";5;"Lane Cove_store";"7553 Harness Circle";"1 (11) 543 535-0131";"Lane Cove                     ";"New South Wales"
6;"20050706";"20050709";6;"Lavender Bay_store";"7305 Humphrey Drive";"1 (11) 543 535-0151";"Lavender Bay                  ";"New South Wales";"20050715";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
7;"20050707";"20050707";7;"Malabar_store";"2612 Berry Dr";"1 (11) 543 535-0184";"Malabar                       ";"New South Wales";"20050715";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
8;"20050708";"20050709";8;"Matraville_store";"942 Brook Street";"1 (11) 543 535-0126";"Matraville                    ";"New South Wales";"20050716";29;"Findon_store";"9111 Rose Ann Ave";"1 (11) 543 535-0116";"Findon                        ";"South Australia"
9;"20050709";"20050709";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales";"20050718";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales"
11;"20050711";"20050711";11;"North Ryde_store";"7800 Corrinne Court";"1 (11) 543 535-0169";"North Ryde                    ";"New South Wales";"20050716";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
12;"20050712";"20050715";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20050813";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
13;"20050713";"20050714";50;"NULL";"NULL";"NULL";"NULL";"NULL";"20050721";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
14;"20050714";"20050715";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales";"20050719";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
15;"20050715";"20050715";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20050724";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
16;"20050716";"20050716";29;"Findon_store";"9111 Rose Ann Ave";"1 (11) 543 535-0116";"Findon                        ";"South Australia";"20050817";29;"Findon_store";"9111 Rose Ann Ave";"1 (11) 543 535-0116";"Findon                        ";"South Australia"
17;"20050717";"20050717";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050722";50;"NULL";"NULL";"NULL";"NULL";"NULL"
18;"20050718";"20050718";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales";"20050723";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales"
19;"20050719";"20050720";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales";"20050810";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
20;"20050720";"20050723";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20050804";35;"Melbourne_store";"5167 Condor Place";"1 (11) 543 535-0136";"Melbourne                     ";"Victoria"
21;"20050721";"20050721";50;"NULL";"NULL";"NULL";"NULL";"NULL";"20050810";1;"Alexandria_stroe";"3761 N. 14th St";"1 (11) 543 535-0162";"Alexandria                    ";"New South Wales"
22;"20050722";"20050722";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050808";39;"Sunbury_store";"8357 Sandy Cove Lane";"1 (11) 543 535-0114";"Sunbury                       ";"Victoria"
23;"20050723";"20050723";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20050807";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
24;"20050724";"20050727";19;"Wollongong_store";"244 Rivewview";"1 (11) 543 535-0137";"Wollongong                    ";"New South Wales";"20050812";19;"Wollongong_store";"244 Rivewview";"1 (11) 543 535-0137";"Wollongong                    ";"New South Wales"
25;"20050725";"20050725";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20050814";5;"Lane Cove_store";"7553 Harness Circle";"1 (11) 543 535-0131";"Lane Cove                     ";"New South Wales"
26;"20050726";"20050729";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20050814";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
27;"20050727";"20050727";19;"Wollongong_store";"244 Rivewview";"1 (11) 543 535-0137";"Wollongong                    ";"New South Wales";"20050812";3;"Darlinghurst_store";"5844 Linden Land";"1 (11) 543 535-0184";"Darlinghurst                  ";"New South Wales"
28;"20050728";"20050728";50;"NULL";"NULL";"NULL";"NULL";"NULL";"20050821";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland"
29;"20050729";"20050729";29;"Findon_store";"9111 Rose Ann Ave";"1 (11) 543 535-0116";"Findon                        ";"South Australia";"20050818";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales"
30;"20050730";"20050730";30;"Perth_store";"6385 Mark Twain";"1 (11) 543 535-0146";"Perth                         ";"South Australia";"20050820";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
31;"20050731";"20050731";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20050824";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
32;"20050801";"20050804";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20050806";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
33;"20050802";"20050802";33;"Cranbourne_store";"626 Bentley Street";"1 (11) 543 535-0169";"Cranbourne                    ";"Victoria";"20050807";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
34;"20050803";"20050803";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20050824";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
35;"20050804";"20050804";35;"Melbourne_store";"5167 Condor Place";"1 (11) 543 535-0136";"Melbourne                     ";"Victoria";"20050813";35;"Melbourne_store";"5167 Condor Place";"1 (11) 543 535-0136";"Melbourne                     ";"Victoria"
36;"20050805";"20050805";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland";"20050826";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland"
37;"20050806";"20050806";37;"Seaford_store";"3981 Augustine Drive";"115-535-0183";"Seaford                       ";"Victoria";"20050815";37;"Seaford_store";"3981 Augustine Drive";"115-535-0183";"Seaford                       ";"Victoria"
38;"20050807";"20050807";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20050828";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
39;"20050808";"20050808";39;"Sunbury_store";"8357 Sandy Cove Lane";"1 (11) 543 535-0114";"Sunbury                       ";"Victoria";"20050816";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales"
40;"20050809";"20050810";40;"Warrnambool_store";"9353 Creekside Dr.";"1 (11) 543 535-0183";"Warrnambool                   ";"Victoria";"20050921";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
41;"20050810";"20050810";1;"Alexandria_stroe";"3761 N. 14th St";"1 (11) 543 535-0162";"Alexandria                    ";"New South Wales";"20050819";1;"Alexandria_stroe";"3761 N. 14th St";"1 (11) 543 535-0162";"Alexandria                    ";"New South Wales"
42;"20050811";"20050814";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales";"20050816";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
43;"20050812";"20050812";3;"Darlinghurst_store";"5844 Linden Land";"1 (11) 543 535-0184";"Darlinghurst                  ";"New South Wales";"20050817";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
44;"20050813";"20050816";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20050828";19;"Wollongong_store";"244 Rivewview";"1 (11) 543 535-0137";"Wollongong                    ";"New South Wales"
45;"20050814";"20050814";5;"Lane Cove_store";"7553 Harness Circle";"1 (11) 543 535-0131";"Lane Cove                     ";"New South Wales";"20050823";5;"Lane Cove_store";"7553 Harness Circle";"1 (11) 543 535-0131";"Lane Cove                     ";"New South Wales"
46;"20050815";"20050815";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050901";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland"
47;"20050816";"20050816";7;"Malabar_store";"2612 Berry Dr";"1 (11) 543 535-0184";"Malabar                       ";"New South Wales";"20050824";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
48;"20050817";"20050818";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland";"20050908";30;"Perth_store";"6385 Mark Twain";"1 (11) 543 535-0146";"Perth                         ";"South Australia"
49;"20050818";"20050818";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales";"20050827";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales"
50;"20050819";"20050820";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales";"20050829";11;"North Ryde_store";"7800 Corrinne Court";"1 (11) 543 535-0169";"North Ryde                    ";"New South Wales"
51;"20050820";"20050821";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland";"20050825";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland"
52;"20050821";"20050821";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland";"20050907";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales"
53;"20050822";"20050822";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales";"20050910";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales"
54;"20050823";"20050824";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales";"20050912";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
55;"20050824";"20050824";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland";"20050915";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
56;"20050825";"20050826";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales";"20050910";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
57;"20050826";"20050826";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales";"20050914";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
58;"20050827";"20050827";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales";"20050912";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales"
59;"20050828";"20050828";19;"Wollongong_store";"244 Rivewview";"1 (11) 543 535-0137";"Wollongong                    ";"New South Wales";"20050913";9;"Milsons Point_store";"624 Peabody Road";"1 (11) 543 535-0164";"Milsons Point                 ";"New South Wales"
60;"20050829";"20050829";11;"North Ryde_store";"7800 Corrinne Court";"1 (11) 543 535-0169";"North Ryde                    ";"New South Wales";"20050910";11;"North Ryde_store";"7800 Corrinne Court";"1 (11) 543 535-0169";"North Ryde                    ";"New South Wales"
61;"20050830";"20050830";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050918";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
62;"20050831";"20050831";50;"NULL";"NULL";"NULL";"NULL";"NULL";"20050916";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland"
63;"20050901";"20050901";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland";"20050910";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland"
64;"20050902";"20050902";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050923";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales"
65;"20050903";"20050903";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales";"20050911";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
66;"20050904";"20050905";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland";"20050913";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
67;"20050905";"20050905";27;"Townsville_store";"8211 Leeds Ct.";"1 (11) 543 535-0131";"Townsville                    ";"Queensland";"20050910";27;"Townsville_store";"8211 Leeds Ct.";"1 (11) 543 535-0131";"Townsville                    ";"Queensland"
68;"20050906";"20050907";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales";"20050907";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales"
69;"20050907";"20050907";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20050928";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales"
70;"20050908";"20050908";30;"Perth_store";"6385 Mark Twain";"1 (11) 543 535-0146";"Perth                         ";"South Australia";"20050913";30;"Perth_store";"6385 Mark Twain";"1 (11) 543 535-0146";"Perth                         ";"South Australia"
71;"20050909";"20050909";31;"Hobart_store";"636 Vine Hill Way";"1 (11) 543 535-0182";"Hobart                        ";"Tasmania";"20050914";31;"Hobart_store";"636 Vine Hill Way";"1 (11) 543 535-0182";"Hobart                        ";"Tasmania"
72;"20050910";"20050911";32;"Bendigo_store";"6465 Detroit Ave.";"1 (11) 543 535-0195";"Bendigo                       ";"Victoria";"20051001";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
73;"20050911";"20050911";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland";"20050916";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland"
74;"20050912";"20050915";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland";"20050917";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
75;"20050913";"20050914";28;"Cloverdale_store";"213 Valencia Place";"1 (11) 543 535-0184";"Cloverdale                    ";"South Australia";"20051014";28;"Cloverdale_store";"213 Valencia Place";"1 (11) 543 535-0184";"Cloverdale                    ";"South Australia"
76;"20050914";"20050915";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland";"20050919";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
